index,ID,has_duplicate,dup_of,title,author,format,language,published,date,description,edition,hashed_ID,hashed_title,hashed_author,hashed_format,hashed_language,hashed_published,hashed_date,hashed_description,hashed_edition,prev_ID,prev_title,prev_author,prev_format,prev_language,prev_published,prev_date,prev_description,prev_edition,ID_hamming_distance,title_hamming_distance,author_hamming_distance,format_hamming_distance,language_hamming_distance,published_hamming_distance,date_hamming_distance,description_hamming_distance,edition_hamming_distance
35,'99125312467606421',False,,"Main Street, and Other Poems","Kilmer, Joyce 1886-1918",Book,English,Project Gutenberg,2008.0,nan,nan,7016613146610467157,380754965476097136,2342903382622522707,3239280228008868087,232641095895406674,12511420131515466813,585468158656546854,11957213470032839208,11957213470032839208,'SCSB-8172823',"Main street, and other poems","Kilmer, Joyce, 1886-1918",Book,English,New York: George H. Doran company,1917.0,78 p. ; 21 cm.,nan,35,0,0,0,0,28,32,35,0
17,'SCSB-7719493',False,,Hiking trails of Joyce Kilmer-Slickrock and Citico Creek Wilderness areas,"Homan, Tim",Book,English,Atlanta: Peachtree Publishers,1990.0,"xxiv, 227 p, [1] folded leaf of plates : ill., maps ; 18 cm.",nan,16934092351965570401,562966119624202987,4782160082113252304,3239280228008868087,232641095895406674,11990096642419940024,37874714840532486,6273696324135839875,11957213470032839208,'99125312467606421',"Main Street, and Other Poems","Kilmer, Joyce 1886-1918",Book,English,Project Gutenberg,2008.0,nan,nan,32,29,32,0,0,29,22,33,0
0,'SCSB-6025386',False,,"[Science : a collection of Russian publications : in the collection of the Slavic & Baltic Division, NYPL].",nan,Book,Russian,nan,1900.0,57 items.,nan,6686306766292081678,567130239156293836,11957213470032839208,3239280228008868087,9304665528846067786,11957213470032839208,16141006651980513280,6957019134795333304,11957213470032839208,'SCSB-7719493',Hiking trails of Joyce Kilmer-Slickrock and Citico Creek Wilderness areas,"Homan, Tim",Book,English,Atlanta: Peachtree Publishers,1990.0,"xxiv, 227 p, [1] folded leaf of plates : ill., maps ; 18 cm.",nan,35,25,35,0,24,28,28,35,0
95,'9919563413506421',False,,Science: a course of selected reading by authorities,nan,Book,English,"Nottingham, Eng.: International University Society",1957.0,"xxiii, 322 p. 24 cm.",nan,11270326211824659236,602354520895424644,11957213470032839208,3239280228008868087,232641095895406674,3141310963315936416,288380194484555788,2939201572732999785,11957213470032839208,'SCSB-6025386',"[Science : a collection of Russian publications : in the collection of the Slavic & Baltic Division, NYPL].",nan,Book,Russian,nan,1900.0,57 items.,nan,30,26,0,0,24,28,20,25,0
84,'995645483506421',False,,Science news,nan,Journal,English,"Washington, D.C.: Science Service",1966.0,"v. : ill. ; 27 cm.; Vol. 89, no. 11 (Mar. 12, 1966)-",nan,11955557803750720852,648647330835873846,11957213470032839208,7354167141175773184,232641095895406674,866093880112717427,4914157458299425372,12430095533156226903,11957213470032839208,'9919563413506421',Science: a course of selected reading by authorities,nan,Book,English,"Nottingham, Eng.: International University Society",1957.0,"xxiii, 322 p. 24 cm.",nan,25,25,0,39,0,33,19,35,0
85,'99125250675606421',False,,Science news,nan,Journal,English,"Washington, D.C.: Science Service; Washington, D.C.: Society for Science & The Public",1966.0,"1 online resource; Began with: Vol. 89, no. 11 (Mar. 12, 1966).",nan,17503381617984250272,648647330835873846,11957213470032839208,7354167141175773184,232641095895406674,868627170073646334,4914157458299425372,17335976950014033498,11957213470032839208,'995645483506421',Science news,nan,Journal,English,"Washington, D.C.: Science Service",1966.0,"v. : ill. ; 27 cm.; Vol. 89, no. 11 (Mar. 12, 1966)-",nan,28,0,0,0,0,15,0,21,0
86,'99125291679006421',False,,Science studies,nan,Journal,English,Helsinki: Finnish Society for Science Studies,1988.0,"Vol. 1, no. 1 (1988)-; Ceased with: Volume 25, number 1 (2012).",nan,2902641389659914310,649192989507650855,11957213470032839208,7354167141175773184,232641095895406674,4184026053473535018,10088068942597193729,11647581436562008378,11957213470032839208,'99125250675606421',Science news,nan,Journal,English,"Washington, D.C.: Science Service; Washington, D.C.: Society for Science & The Public",1966.0,"1 online resource; Began with: Vol. 89, no. 11 (Mar. 12, 1966).",nan,27,19,0,0,0,26,31,25,0
59,'9938417073506421',True,'SCSB-4334685',Random symmetries : the collected poems of Tom Andrews,"Andrews, Tom, 1961-2001",Book,English,"Oberlin, OH: Oberlin College Press",2002.0,"vii, 265 pages ; 23 cm.",nan,13906809268651269508,668525349831278856,17261115916625241099,3239280228008868087,232641095895406674,1172827456918117264,3680021715266060289,11380765864751410200,11957213470032839208,'99125291679006421',Science studies,nan,Journal,English,Helsinki: Finnish Society for Science Studies,1988.0,"Vol. 1, no. 1 (1988)-; Ceased with: Volume 25, number 1 (2012).",nan,33,26,30,39,0,33,16,30,0
60,'SCSB-4334685',True,'9938417073506421',Random symmetries : the collected poems of Tom Andrews,"Andrews, Tom, 1961-2001",Book,English,"Oberlin, OH: Oberlin College Press",2002.0,"vii, 265 pages ; 23 cm.",nan,10282670722368057945,668525349831278856,17261115916625241099,3239280228008868087,232641095895406674,1172827456918117264,3680021715266060289,11380765864751410200,11957213470032839208,'9938417073506421',Random symmetries : the collected poems of Tom Andrews,"Andrews, Tom, 1961-2001",Book,English,"Oberlin, OH: Oberlin College Press",2002.0,"vii, 265 pages ; 23 cm.",nan,38,0,0,0,0,0,0,0,0
1,'99125158440406421',False,,Crop science,nan,Journal,English,"Madison, Wis.: Crop Science Society of America; New York: Springer",1961.0,"Print began with v. 1, published in 1961.",nan,2489797704982201668,684674480589595942,11957213470032839208,7354167141175773184,232641095895406674,4038936135088866550,2139702438758844552,9238222565163822473,11957213470032839208,'SCSB-4334685',Random symmetries : the collected poems of Tom Andrews,"Andrews, Tom, 1961-2001",Book,English,"Oberlin, OH: Oberlin College Press",2002.0,"vii, 265 pages ; 23 cm.",nan,36,27,30,39,0,36,27,25,0
6,'9922564513506421',False,,Science,"Fuller, Steve, 1959-",Book,English,Buckingham: Open University Press,1997.0,"viii, 159 p. ; 23 cm.",nan,12752944448626173164,685798413803980806,1244665136318168848,3239280228008868087,232641095895406674,16758211512849450725,9894766963995489298,14951554704700841254,11957213470032839208,'99125158440406421',Crop science,nan,Journal,English,"Madison, Wis.: Crop Science Society of America; New York: Springer",1961.0,"Print began with v. 1, published in 1961.",nan,28,16,34,39,0,25,28,34,0
9,'SCSB-8463178',False,,Science,Korea (South). Haeoe Kongbogwan,Book,English,Seoul: The Service,1973.0,95 p. : ill. ; 21 cm.,nan,2041124645550285577,685798413803980806,5748919953479322608,3239280228008868087,232641095895406674,3605746207161517601,9025249148470886401,7753056827120461416,11957213470032839208,'9922564513506421',Science,"Fuller, Steve, 1959-",Book,English,Buckingham: Open University Press,1997.0,"viii, 159 p. ; 23 cm.",nan,34,0,33,0,0,29,29,36,0
10,'99117283613506421',False,,Science,"McEwan, Ian",Book,English,London: Vintage,2019.0,120 pages ; 18 cm.,nan,17431913911282641952,685798413803980806,5828790461035876486,3239280228008868087,232641095895406674,5863697435158896145,2351160480875368548,5004879960889371356,11957213470032839208,'SCSB-8463178',Science,Korea (South). Haeoe Kongbogwan,Book,English,Seoul: The Service,1973.0,95 p. : ill. ; 21 cm.,nan,31,0,33,0,0,24,24,33,0
13,'9982332233506421',True,SCSB-12445202,Science,"Toder, Emily, 1981-",Book,English,"Atlanta, GA: Coconut Books",2012.0,76 p. ; 23 cm.,nan,3876101169677307148,685798413803980806,8308092967033180087,3239280228008868087,232641095895406674,785442893973821441,1491268187721842952,9296579765253298963,11957213470032839208,'99117283613506421',Science,"McEwan, Ian",Book,English,London: Vintage,2019.0,120 pages ; 18 cm.,nan,20,0,27,0,0,32,22,31,0
14,'SCSB-12445202',True,9982332233506421,Science,"Toder, Emily, 1981-",Book,English,"Atlanta, GA: Coconut Books",2012.0,76 p. ; 23 cm.,nan,12348105655062772507,685798413803980806,8308092967033180087,3239280228008868087,232641095895406674,785442893973821441,1491268187721842952,9296579765253298963,11957213470032839208,'9982332233506421',Science,"Toder, Emily, 1981-",Book,English,"Atlanta, GA: Coconut Books",2012.0,76 p. ; 23 cm.,nan,36,0,0,0,0,0,0,0,0
11,'SCSB-13661861',False,,Science,"Saint-Martin, Arnaud",Book,French,Paris: Anamosa,2020.0,84 pages ; 19 cm.,nan,4220499972227351384,685798413803980806,8701174488094556366,3239280228008868087,1365956837188197797,13225249447501117692,10163435546392610884,140737516876949776,11957213470032839208,'SCSB-12445202',Science,"Toder, Emily, 1981-",Book,English,"Atlanta, GA: Coconut Books",2012.0,76 p. ; 23 cm.,nan,30,0,34,0,32,39,27,19,0
7,'SCSB-5194482',False,,Science,"Gillon, Philip, 1913-2003",Book,English,Jerusalem: Israel Digest,1965.0,47 pages : illustrations ; 16 cm.,nan,74379949699752720,685798413803980806,9832287014491818345,3239280228008868087,232641095895406674,16189465207430776335,667102446778745936,2428706829488822941,11957213470032839208,'SCSB-13661861',Science,"Saint-Martin, Arnaud",Book,French,Paris: Anamosa,2020.0,84 pages ; 19 cm.,nan,31,0,36,0,32,33,23,35,0
12,'SCSB-6249755',False,,Science,Singapore. Ministry of Education,Book,English,Singapore: Printed by the Govt. Print. Off,1971.0,2 v. 19 x 27 cm.,nan,18162008100335325445,685798413803980806,11424568544438256185,3239280228008868087,232641095895406674,13158334373534251560,653656984377664802,1799929261549829,11957213470032839208,'SCSB-5194482',Science,"Gillon, Philip, 1913-2003",Book,English,Jerusalem: Israel Digest,1965.0,47 pages : illustrations ; 16 cm.,nan,28,0,32,0,0,31,25,34,0
15,'998574693506421',False,,Science,nan,Journal,English,"Cambridge, Mass: M. King",1883.0,"v. : ill. ; 26-32 cm.; [Vol. 1], no. 1 (Feb. 9, 1883)-v. 23, no. 581 (Mar. 23, 1894) ; new ser., v. 1, no. 1 (Jan. 4, 1895)-",nan,9469598148887151872,685798413803980806,11957213470032839208,7354167141175773184,232641095895406674,1724983579310477151,747615414336357130,590120757378208626,11957213470032839208,'SCSB-6249755',Science,Singapore. Ministry of Education,Book,English,Singapore: Printed by the Govt. Print. Off,1971.0,2 v. 19 x 27 cm.,nan,34,0,29,39,0,32,26,35,0
26,'SCSB-5936783',False,,Science,nan,Journal,English,"Washington, etc.: American Association for the Advancement of Science [etc.]",1883.0,"v. : ill., ports., maps. ; 26-32 cm.; Vol. 1 (Feb. 9, 1880)-v. 23 (Mar. 23, 1894); new ser., v. 1, no. 1 (Jan. 4, 1895)-",nan,11833813621320873228,685798413803980806,11957213470032839208,7354167141175773184,232641095895406674,2707640573372733542,747615414336357130,3031089278816454446,11957213470032839208,'998574693506421',Science,nan,Journal,English,"Cambridge, Mass: M. King",1883.0,"v. : ill. ; 26-32 cm.; [Vol. 1], no. 1 (Feb. 9, 1883)-v. 23, no. 581 (Mar. 23, 1894) ; new ser., v. 1, no. 1 (Jan. 4, 1895)-",nan,30,0,0,0,0,37,0,16,0
17,'SCSB-3194017',False,,Science,nan,Book,English,Moscow: Novosti Press Agency Pub. House,1976.0,"46 pages, 24 unnumbered leaves of plates : illustrations ; 19 cm.",nan,9439597698744336905,685798413803980806,11957213470032839208,3239280228008868087,232641095895406674,4285092407717975562,27093628832710664,1276252366451976445,11957213470032839208,'SCSB-5936783',Science,nan,Journal,English,"Washington, etc.: American Association for the Advancement of Science [etc.]",1883.0,"v. : ill., ports., maps. ; 26-32 cm.; Vol. 1 (Feb. 9, 1880)-v. 23 (Mar. 23, 1894); new ser., v. 1, no. 1 (Jan. 4, 1895)-",nan,29,0,0,39,0,30,16,34,0
16,'SCSB-12140011',False,,Science,nan,Book,English,Moscow: Novosti Press Agency Pub. House,1984.0,"135 p., [16] p. of plates : ill. (some col.) ; 19 cm.",nan,10959625391452609280,685798413803980806,11957213470032839208,3239280228008868087,232641095895406674,4285092407717975562,5920044040163921973,4319077116802620821,11957213470032839208,'SCSB-3194017',Science,nan,Book,English,Moscow: Novosti Press Agency Pub. House,1976.0,"46 pages, 24 unnumbered leaves of plates : illustrations ; 19 cm.",nan,21,0,0,0,0,0,31,29,0
18,'SCSB-2743640',True,99125320522206421,Science,nan,Journal,English,"New York, N.Y.: publisher not identified",1880.0,"volumes : illustrations ; 26-32 cm; Vol. 1, no. 1 (July 3, 1880)-v. 3, no. 82 (Mar. 4, 1882); [New ser.] Vol. 1, no. 1 (Feb. 9, 1883)-v. 23, no. 581 (Mar. 23, 1894); [2nd ser.] v. 1, no. 1 (Jan. 4, 1895)-",nan,1752227046680995424,685798413803980806,11957213470032839208,7354167141175773184,232641095895406674,9287986038126555556,8544057610364789250,662758893221967416,11957213470032839208,'SCSB-12140011',Science,nan,Book,English,Moscow: Novosti Press Agency Pub. House,1984.0,"135 p., [16] p. of plates : ill. (some col.) ; 19 cm.",nan,22,0,0,39,0,34,32,31,0
19,'99125320522206421',True,SCSB-2743640,Science,nan,Journal,English,"New York, N.Y.: publisher not identified; Cambridge, Mass: Science Company, Moses King; Lancaster, Pa.: Science Press; Lancaster, Pa.: American Association for the Advancement of Science; Washington, DC: American Association for the Advancement of Science",1880.0,"Vol. 1, no. 1 (July 3, 1880)-v. 3, no. 82 (Mar. 4, 1882); [New ser.] vol. 1, no. 1 (Feb. 9, 1883)-v. 23, no. 581 (Mar. 23, 1894); [2nd ser.] v. 1, no. 1 (Jan. 4, 1895)-",nan,16458546935948148768,685798413803980806,11957213470032839208,7354167141175773184,232641095895406674,10053715004484762694,8544057610364789250,677377987004981776,11957213470032839208,'SCSB-2743640',Science,nan,Journal,English,"New York, N.Y.: publisher not identified",1880.0,"volumes : illustrations ; 26-32 cm; Vol. 1, no. 1 (July 3, 1880)-v. 3, no. 82 (Mar. 4, 1882); [New ser.] Vol. 1, no. 1 (Feb. 9, 1883)-v. 23, no. 581 (Mar. 23, 1894); [2nd ser.] v. 1, no. 1 (Jan. 4, 1895)-",nan,27,0,0,0,0,24,0,12,0
20,'9921068463506421',True,99125320522206421,Science,nan,Journal,English,New York: s.n.,1880.0,"3 v. : ill. ; 29 cm.; Vol. 1, no. 1 (July 3, 1880)-v. 3, no. 82 (Mar. 4, 1882).",nan,11955908514488190236,685798413803980806,11957213470032839208,7354167141175773184,232641095895406674,10828102180126464144,8544057610364789250,2846854547265747024,11957213470032839208,'99125320522206421',Science,nan,Journal,English,"New York, N.Y.: publisher not identified; Cambridge, Mass: Science Company, Moses King; Lancaster, Pa.: Science Press; Lancaster, Pa.: American Association for the Advancement of Science; Washington, DC: American Association for the Advancement of Science",1880.0,"Vol. 1, no. 1 (July 3, 1880)-v. 3, no. 82 (Mar. 4, 1882); [New ser.] vol. 1, no. 1 (Feb. 9, 1883)-v. 23, no. 581 (Mar. 23, 1894); [2nd ser.] v. 1, no. 1 (Jan. 4, 1895)-",nan,28,0,0,0,0,32,0,24,0
25,'SCSB-2173455',False,,Science,nan,Journal; Microform,English,"Washington, D.C.: American Association for the Advancement of Science",1979.0,"7 volumes : illustrations ; 28 cm; Vol. 1, no. 1 (Nov./Dec. 1979)-v. 7, no. 6 (July/Aug. 1986)",nan,1452454959430961328,685798413803980806,11957213470032839208,16864624964205209829,232641095895406674,11786585160313092198,52778656423940,9976055863466727065,11957213470032839208,'9921068463506421',Science,nan,Journal,English,New York: s.n.,1880.0,"3 v. : ill. ; 29 cm.; Vol. 1, no. 1 (July 3, 1880)-v. 3, no. 82 (Mar. 4, 1882).",nan,27,0,0,21,0,33,27,36,0
24,'SCSB-9389837',True,991206653506421',Science,nan,Journal,English,"Washington, D.C.: American Association for the Advancement of Science",1979.0,"7 v. ill. 28 cm.; v. 1-7, no. 6; Nov./Dec. 1979-July/Aug. 1986.",nan,363140464401052676,685798413803980806,11957213470032839208,7354167141175773184,232641095895406674,11786585160313092198,52778656423940,12867362365792260153,11957213470032839208,'SCSB-2173455',Science,nan,Journal; Microform,English,"Washington, D.C.: American Association for the Advancement of Science",1979.0,"7 volumes : illustrations ; 28 cm; Vol. 1, no. 1 (Nov./Dec. 1979)-v. 7, no. 6 (July/Aug. 1986)",nan,23,0,0,21,0,0,0,19,0
23,'991206653506421',True,SCSB-9389837,Science,nan,Journal,English,"Washington, D.C.: American Association for the Advancement of Science",1979.0,"7 v. : ill. ; 28 cm.; Vol. 1, no. 1 (Nov./Dec. 1979)-v. 7, no. 6 (July/Aug. 1986).",nan,15454867735289635860,685798413803980806,11957213470032839208,7354167141175773184,232641095895406674,11786585160313092198,52778656423940,12885364729803068185,11957213470032839208,'SCSB-9389837',Science,nan,Journal,English,"Washington, D.C.: American Association for the Advancement of Science",1979.0,"7 v. ill. 28 cm.; v. 1-7, no. 6; Nov./Dec. 1979-July/Aug. 1986.",nan,24,0,0,0,0,0,0,14,0
21,'9954014793506421',True,SCSB-11831235,Science,nan,Book,English,"Parkersburg, WV: Interactivity Foundation",2007.0,"iv, 102 p. ; 28 cm.",nan,14392324936705789252,685798413803980806,11957213470032839208,3239280228008868087,232641095895406674,11807379206890787973,2975346111545700,7875139007073122267,11957213470032839208,'991206653506421',Science,nan,Journal,English,"Washington, D.C.: American Association for the Advancement of Science",1979.0,"7 v. : ill. ; 28 cm.; Vol. 1, no. 1 (Nov./Dec. 1979)-v. 7, no. 6 (July/Aug. 1986).",nan,29,0,0,39,0,23,21,25,0
22,'SCSB-11831235',True,9954014793506421,Science,nan,Book,English,"Parkersburg, WV: Interactivity Foundation",2007.0,"iv, 102 p. ; 28 cm.",nan,12682199481132206954,685798413803980806,11957213470032839208,3239280228008868087,232641095895406674,11807379206890787973,2975346111545700,7875139007073122267,11957213470032839208,'9954014793506421',Science,nan,Book,English,"Parkersburg, WV: Interactivity Foundation",2007.0,"iv, 102 p. ; 28 cm.",nan,40,0,0,0,0,0,0,0,0
5,'9958689083506421',False,,Science,"Clarke, Shirley",Book,English,England: Hodder & Stoughton,1991.0,24 p. : col. ill. ; 28 cm.,nan,17363819653470950412,685798413803980806,13116807979955128833,3239280228008868087,232641095895406674,10895118839114576492,9511891112124744848,5369036252457140424,11957213470032839208,'SCSB-11831235',Science,nan,Book,English,"Parkersburg, WV: Interactivity Foundation",2007.0,"iv, 102 p. ; 28 cm.",nan,29,0,27,0,0,27,26,33,0
8,'SCSB-11741770',False,,Science,"Kanin, Yuri",Book,English,Moscow: Novosti Press Agency Pub. House,1978.0,"46 p., [20] leaves of plates : ill. (some col.) ; 20 cm.",nan,6063701160239004507,685798413803980806,15278500312097428640,3239280228008868087,232641095895406674,4285092407717975562,714137750701879704,1239461527928788303,11957213470032839208,'9958689083506421',Science,"Clarke, Shirley",Book,English,England: Hodder & Stoughton,1991.0,24 p. : col. ill. ; 28 cm.,nan,38,0,25,0,0,27,25,32,0
80,'99125305157306421',False,,Science editing,nan,Journal,English,Seoul: Korean Council of Science Editors,2014.0,"Began with vol. 1, no. 1 (February 2014).",nan,133767650744762628,686618136274209318,11957213470032839208,7354167141175773184,232641095895406674,973718628757548647,14339479357145875456,9673105155074437064,11957213470032839208,'SCSB-11741770',Science,"Kanin, Yuri",Book,English,Moscow: Novosti Press Agency Pub. House,1978.0,"46 p., [20] leaves of plates : ill. (some col.) ; 20 cm.",nan,40,17,32,39,0,35,27,34,0
42,'99129089203406421',False,,Science : a poem,"Hopkinson, Francis, 1737-1791",Book,English,"Philadelphia: Printed by William Dunlap, in Market-street",1762.0,"1 online resource (iv, [5]-19 p. )",nan,1620623725974324300,688244348234512998,16588700293741290160,3239280228008868087,232641095895406674,7430815536434409384,45080044897808,3568540161200731792,11957213470032839208,'99125305157306421',Science editing,nan,Journal,English,Seoul: Korean Council of Science Editors,2014.0,"Began with vol. 1, no. 1 (February 2014).",nan,22,20,26,39,0,33,20,34,0
98,'9948784643506421',True,9963469093506421,Science. A poem,"Hopkinson, Francis, 1737-1791",Book,English,"Philadelphia:: Printed by William Dunlap, in Market-Street,",1762.0,"iv, [1], 6-19, [1] p. ; (4to)",nan,12833760828697461781,688244348234512998,16588700293741290160,3239280228008868087,232641095895406674,7430815536434409384,45080044897808,8502937269855261007,11957213470032839208,'99129089203406421',Science : a poem,"Hopkinson, Francis, 1737-1791",Book,English,"Philadelphia: Printed by William Dunlap, in Market-street",1762.0,"1 online resource (iv, [5]-19 p. )",nan,26,0,0,0,0,0,0,34,0
99,'9948784633506421',False,,Science. A poem,"Hopkinson, Francis, 1737-1791",Book,English,"Philadelphia:: Printed, and sold by Andrew Steuart, at the Bible-in-Heart, in Second-Street",1762.0,8 p. ; (8vo),nan,13171689061712629149,688244348234512998,16588700293741290160,3239280228008868087,232641095895406674,16266295269825435822,45080044897808,2098818835235209505,11957213470032839208,'9948784643506421',Science. A poem,"Hopkinson, Francis, 1737-1791",Book,English,"Philadelphia:: Printed by William Dunlap, in Market-Street,",1762.0,"iv, [1], 6-19, [1] p. ; (4to)",nan,17,0,0,0,0,29,0,29,0
